id,movie,studio,days.in.theatres,daily.gross,gross.to.date,theatres,date,url
islandoflemurs,Island of Lemurs: Madagascar (IMAX),WB,275,12767,8473333,40,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=islandoflemurs.htm
bestofme,The Best of Me,Rela.,79,10529,26733958,42,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=bestofme.htm
blackbird,Beyond the Lights,Rela.,51,8455,14561057,23,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=blackbird.htm
princesskaguya,The Tale of The Princess Kaguya,GK,79,4502,587205,11,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=princesskaguya.htm
goodlie,The Good Lie,WB,93,4288,2715860,16,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=goodlie.htm
pyramid,The Pyramid,Fox,30,3761,2704300,17,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=pyramid.htm
mommy,Mommy,RAtt.,107,3018,3306687,5,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=mommy.htm
songofthesea,Song of the Sea,GK,16,2777,62510,2,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=songofthesea.htm
meetthemormons,Meet the Mormons,Purd.,86,2412,6026621,11,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=meetthemormons.htm
dearwhitepeople,Dear White People,RAtt.,79,1400,4374770,8,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=dearwhitepeople.htm
hiroshimamonamour,Hiroshima Mon Amour (2014 re-release),Rialto,79,142,88212,1,2015-01-03,http://www.boxofficemojo.com/movies/?page=daily&id=hiroshimamonamour.htm
hobbit3,The Hobbit: The Battle of the Five Armies,WB (NL),19,5295001,220602017,"3,875",2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=hobbit3.htm
intothewoods,Into the Woods,BV,11,4314508,90871655,"2,538",2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=intothewoods.htm
unbroken,Unbroken,Uni.,11,3859900,87651495,"3,190",2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=unbroken.htm
nightatthemuseum3,Night at the Museum: Secret of the Tomb,Fox,17,3159989,89847179,"3,802",2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=nightatthemuseum3.htm
annie2014,Annie (2014),Sony,17,2520385,72460370,"3,166",2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=annie2014.htm
womaninblack2,The Woman in Black 2: Angel of Death,Rela.,3,2351662,15027415,"2,602",2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=womaninblack2.htm
imitationgame,The Imitation Game,Wein.,38,1783809,30472090,754,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=imitationgame.htm
hungergames3,The Hunger Games: Mockingjay - Part 1,LGF,45,1680210,323734502,"2,505",2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=hungergames3.htm
gambler,The Gambler,Par.,11,1404652,27606266,"2,494",2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=gambler.htm
disney2014,Big Hero 6,BV,59,1137658,211207036,"1,913",2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=disney2014.htm
wild2014,Wild (2014),FoxS,33,1100354,25880904,"1,361",2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=wild2014.htm
exodus,Exodus: Gods and Kings,Fox,24,930257,61342935,"2,260",2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=exodus.htm
penguinsofmadagascar,Penguins of Madagascar,Fox,40,704976,78116780,"1,585",2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=penguinsofmadagascar.htm
bigeyes,Big Eyes,Wein.,11,644414,9924025,"1,408",2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=bigeyes.htm
interstellar,Interstellar,Par.,61,571697,182802094,"1,048",2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=interstellar.htm
topfive,Top Five,Par.,24,437048,23740325,"1,195",2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=topfive.htm
theoryofeverything,The Theory of Everything,Focus,59,268531,24772350,651,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=theoryofeverything.htm
interview2014,The Interview (2014),Sony,11,238830,4960726,581,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=interview2014.htm
birdman,Birdman,FoxS,80,205235,25424568,282,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=birdman.htm
americansniper,American Sniper,WB,11,204328,2229288,4,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=americansniper.htm
horriblebosses2,Horrible Bosses 2,WB,40,194139,53063469,702,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=horriblebosses2.htm
pk,P.K.,UTV,17,187839,9896123,221,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=pk.htm
selma,Selma,Par.,11,159225,2068453,22,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=selma.htm
gonegirl,Gone Girl,Fox,94,86286,166726809,279,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=gonegirl.htm
inherentvice,Inherent Vice,WB,24,71744,1462978,16,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=inherentvice.htm
dumberto,Dumb and Dumber To,Uni.,52,64545,85392580,331,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=dumberto.htm
stvincent,St. Vincent,Wein.,87,50703,43478246,402,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=stvincent.htm
bookoflife14,The Book of Life (2014),Fox,80,46528,49564131,134,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=bookoflife14.htm
fury2014,Fury (2014),Sony,80,46447,85509098,232,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=fury2014.htm
nightcrawlers,Nightcrawler,ORF,66,28425,31983186,105,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=nightcrawlers.htm
equalizer,The Equalizer,Sony,101,27549,101436176,148,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=equalizer.htm
mazerunner,The Maze Runner,Fox,108,21978,102242014,118,2015-01-04,http://www.boxofficemojo.com/movies/?page=daily&id=mazerunner.htm
